Product_Category,Category,Subcategory1,Subcategory2,Subcategory3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Topwear,T-Shirts,Review Score,4 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=4&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Review Score,3 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Review Score,2 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=2&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Review Score,1 & up,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&reviewScore=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,size,Regular,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=1&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,size,Petite,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&size=3&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Black,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1017&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Gray,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1018&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Red,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1019&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Pink,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1020&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Blue,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1021&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Green,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1022&vendor=Certona&trackingid=309892845958361
Clothing,Women,Western,Topwear,T-Shirts,Color,Brown,https://api.gap.com/commerce/search/products/v2/cc?brand=br&market=us&cid=1055063&locale=en_US&pageSize=300&ignoreInventory=false&includeMarketingFlagsDetails=true&enableSwatchSort=true&sortSwatchesBy=newness&color=1023&vendor=Certona&trackingid=309892845958361
