Product_Category,Category,Subcategory1,Category2,Category3,Attr_Name,Attr_Value,Url
Clothing,Women,Western,Bottomwear,Jeans,New in date,Last 7 Days,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=3&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,New in date,Last 14 Days,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=4&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,New in date,Last 28 Days,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=5&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,New in date,Older Than 28 Days,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&freshness_band=6&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Main Collection,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6764&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Petite,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6403&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Plus Size,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=7699&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Tall,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6399&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Maternity,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=6400&tst-category-curated-version=1
Clothing,Women,Western,Bottomwear,Jeans,Body Fit,Hourglass,https://www.asos.com/api/product/search/v2/curations/3630?offset=0&includeNonPurchasableTypes=restocking&store=US&lang=en-US&currency=USD&rowlength=3&channel=desktop-web&country=US&customerLoyaltyTier=0&keyStoreDataversion=mhabj1f-41&advertisementsPartnerId=100716&advertisementsVisitorId=4f89d8e4-c48b-4269-b118-4ff58b2ec3d9&advertisementsOptInConsent=true&limit=72&attribute_10155=63004&tst-category-curated-version=1
