Category,Product_Category,Subcategory1,Subcategory2,Subcategory3,Url,Attr_Name,Attr_Value
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Beige&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Beige
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Black&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Black
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Blue&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Blue
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Brown&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Brown
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Green&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Green
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Grey&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Grey
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Khaki&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Khaki
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Multi&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Multi
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Orange&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Orange
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Pink&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Pink
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Purple&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Purple
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=Red&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,Red
Women,Clothing,Western,Outerwear,Sweaters,https://www.nastygal.com/on/demandware.store/Sites-nastygal-US-Site/en_US/Search-ShowAjax?cgid=sweaters&pmin=0%2e00&prefn1=color&prefv1=White&expanded=color&start=0&sz=16&pageTypeContext=Search-Show,Color,White
